x            y            z            
-3.372008e+01 -2.386909e+01 -1.250000e+01 
-3.372008e+01 -2.286909e+01 -1.250000e+01 
-3.372008e+01 -2.186909e+01 -1.250000e+01 
-3.372008e+01 -2.086909e+01 -1.250000e+01 
-3.372008e+01 -1.986909e+01 -1.250000e+01 
-3.372008e+01 -1.886909e+01 -1.250000e+01 
-3.372008e+01 -1.786909e+01 -1.250000e+01 
-3.372008e+01 -1.686909e+01 -1.250000e+01 
-3.372008e+01 -1.586909e+01 -1.250000e+01 
-3.372008e+01 -1.486909e+01 -1.250000e+01 
-3.372008e+01 -1.386909e+01 -1.250000e+01 
-3.372008e+01 -1.286909e+01 -3.343363e+00 
-3.372008e+01 -1.186909e+01 -7.604511e+00 
-3.372008e+01 -1.086909e+01 -1.250000e+01 
-3.372008e+01 -9.869090e+00 -9.534053e+00 
-3.372008e+01 -8.869090e+00 -9.066498e+00 
-3.372008e+01 -7.869090e+00 -1.071061e+01 
-3.372008e+01 -6.869090e+00 -1.191677e+01 
-3.372008e+01 -5.869090e+00 -1.250000e+01 
-3.372008e+01 -4.869090e+00 -1.250000e+01 
-3.372008e+01 -3.869090e+00 -1.189588e+01 
-3.372008e+01 -2.869090e+00 -1.141823e+01 
-3.372008e+01 -1.869090e+00 -1.250000e+01 
-3.372008e+01 -8.690896e-01 -1.250000e+01 
-3.372008e+01 1.309104e-01 -1.250000e+01 
-3.372008e+01 1.130910e+00 -1.250000e+01 
-3.372008e+01 2.130910e+00 -1.250000e+01 
-3.372008e+01 3.130910e+00 -2.101336e+00 
-3.372008e+01 4.130910e+00 -1.250000e+01 
-3.372008e+01 5.130910e+00 -1.250000e+01 
-3.372008e+01 6.130910e+00 -1.250000e+01 
-3.372008e+01 7.130910e+00 -1.084299e+01 
-3.372008e+01 8.130910e+00 -1.038779e+01 
-3.372008e+01 9.130910e+00 -9.582446e+00 
-3.372008e+01 1.013091e+01 -1.250000e+01 
-3.372008e+01 1.113091e+01 -1.250000e+01 
-3.372008e+01 1.213091e+01 -1.250000e+01 
-3.372008e+01 1.313091e+01 -1.250000e+01 
-3.372008e+01 1.413091e+01 -1.250000e+01 
-3.372008e+01 1.513091e+01 -1.250000e+01 
-3.372008e+01 1.613091e+01 -1.250000e+01 
-3.372008e+01 1.713091e+01 -1.250000e+01 
-3.372008e+01 1.813091e+01 -1.250000e+01 
-3.372008e+01 1.913091e+01 -1.250000e+01 
-3.372008e+01 2.013091e+01 -1.250000e+01 
-3.372008e+01 2.113091e+01 -1.250000e+01 
-3.372008e+01 2.213091e+01 -1.250000e+01 
